Id,Country,Name,Latitude,Longitude,Status,National_C,CTRY,MCA,UNLocode
3165,"GRC","Kitries","36.929116000000000","22.140146000000001","N/A",,,,
3166,"GRC","Kardamyli","36.885140999999997","22.232569000000002","N/A",,,,
3167,"GRC","Trahila","36.771118000000001","22.312712999999999","N/A",,,,
3168,"GRC","Archangelos","36.629300999999998","22.878048000000000","N/A",,,,
3169,"GRC","Kamari","39.580105000000003","22.933630999999998","N/A",,,,
3170,"GNQ","Bata","1.828476000000000","9.730116000000001","UNECE",,,,
3171,"GNQ","Cogo","1.080463000000000","9.685556999999999","UNECE",,,,
3172,"GNQ","Luba","3.462310000000000","8.554990999999999","UNECE",,,,
3173,"GNQ","Malabo","3.765001000000000","8.779114999999999","UNECE/ERS",,,,
3174,"GNQ","Punta Europa Terminal","3.774361000000000","8.728642000000002","UNECE",,,,
3175,"GNB","Binta","12.419494000000000","-15.314406000000000","UNECE",,,,
3176,"GNB","Bissau","11.856547000000001","-15.575329000000000","UNECE/ERS",,,,
3177,"GNB","Bubaque","11.300000000000001","-15.826323000000000","UNECE/ERS",,,,
3178,"GNB","Cacheu","12.279121000000000","-16.165448000000001","UNECE",,,,
3179,"GNB","Farim","12.479443000000000","-15.222040000000000","UNECE",,,,
3180,"GMB","Banjul","13.444582000000000","-16.571669000000000","UNECE/ERS",,,,
3181,"GIN","Benty","9.172413000000001","-13.210875000000000","UNECE",,,,
3182,"GIN","Conakry","9.508680999999999","-13.723663000000000","UNECE/ERS",,,,
3183,"GIN","Port Katouguma","10.877698000000001","-14.468911000000000","N/A",,,,
3184,"GIN","Port Dapilon","10.845744000000000","-14.506539999999999","N/A",,,,
3185,"GIN","Kassapo","10.675477000000001","-14.587361000000000","N/A",,,,
3186,"GIN","Port-Kamsar","10.650558000000000","-14.618829000000000","UNECE",,,,
3187,"GIN","Port Fory, Kamsar","10.670460000000000","-14.610260000000000","N/A",,,,
3188,"GIN","Adms Peche, Kamsar","10.679057999999999","-14.611041999999999","N/A",,,,
3190,"GIB","Waterport","36.149683000000003","-5.355781000000000","UNECE",,,,
3191,"GHA","Ada","5.776199000000000","0.649409000000000","UNECE",,,,
3192,"GHA","Axim","4.863653000000000","-2.242486000000000","UNECE",,,,
3193,"GHA","Cape Coast","5.105320000000000","-1.239835000000000","UNECE",,,,
3194,"GHA","Saltpond","5.200124000000000","-1.041606000000000","UNECE",,,,
3195,"GHA","Sekondi","4.937467000000000","-1.692008000000000","UNECE",,,,
3196,"GHA","Shama","5.013516000000000","-1.630069000000000","UNECE",,,,
3197,"GHA","Takoradi","4.897017000000000","-1.736901000000000","UNECE/ERS",,,,
3198,"GHA","Tema","5.627214000000000","0.019222000000000","UNECE",,,,
3199,"GHA","Winneba","5.339528000000000","-0.618336000000000","UNECE",,,,
3200,"GBR","Abbotsbury","50.653643000000002","-2.602892000000000","UNECE/ERS",,,,
3201,"GBR","Aber Soch (Abersoch)","52.824230999999997","-4.497188000000001","UNECE/ERS",,,,
3202,"GBR","Aberaeron","52.243665999999997","-4.265581000000000","UNECE/ERS",,,,
3203,"GBR","Abercastle","51.960503000000003","-5.128223000000000","UNECE/ERS",,,,
3204,"GBR","Aberdour","56.052213000000002","-3.293767000000000","UNECE/ERS",,,,
3205,"GBR","Aberffraw","53.190370000000001","-4.462703000000001","UNECE/ERS",,,,
3206,"GBR","Aberystwyth","52.407105000000001","-4.090433000000000","UNECE/ERS",,,,
3207,"GBR","Achiltibuie","58.029626000000000","-5.374864000000000","UNECE/ERS",,,,
3208,"GBR","Achnacroish","56.511440000000000","-5.491412000000000","UNECE/ERS",,,,
3209,"GBR","Aird Ma Ruibhe","57.701456999999998","-7.179739000000000","UNECE/ERS",,,,
3210,"GBR","Aird Mhor (Ardmhor)","57.008761000000000","-7.401752000000000","UNECE/ERS",,,,
3211,"GBR","Aith","60.286136999999997","-1.374472000000000","UNECE/ERS",,,,
3212,"GBR","Alloa","56.108434000000003","-3.797494000000000","UNECE/ERS",,,,
3213,"GBR","Alnmouth","55.386499999999998","-1.614510000000000","UNECE/ERS",,,,
3214,"GBR","Amble","55.336531000000001","-1.581795000000000","UNECE/ERS",,,,
3215,"GBR","Ambleside","54.419499000000002","-2.962991000000000","UNECE/ERS",,,,
3216,"GBR","Amlwch","53.416699000000001","-4.331699000000001","UNECE/ERS",,,,
3217,"GBR","Annalong","54.107838999999998","-5.894896000000000","UNECE/ERS",,,,
3218,"GBR","Anstruther","56.220500000000001","-2.698526000000000","UNECE/ERS",,,,
3219,"GBR","Applecross","57.433756000000002","-5.813862000000000","UNECE/ERS",,,,
3221,"GBR","Arbroath","56.554780000000001","-2.583421000000000","UNECE/ERS",,,,
3222,"GBR","Ardentinny","56.046016000000002","-4.909015000000000","UNECE/ERS",,,,
3223,"GBR","Ardfern","56.182581999999996","-5.530277000000000","UNECE/ERS",,,,
3224,"GBR","Ardgour","56.722881999999998","-5.242775000000000","UNECE/ERS",,,,
3225,"GBR","Ardminish, Gigha Island","55.675277000000001","-5.734984000000000","UNECE/ERS",,,,
3226,"GBR","Ardnamurchan","56.688547000000000","-6.093681000000000","UNECE/ERS",,,,
3229,"GBR","Ardveenish","57.002450000000003","-7.408713000000000","UNECE/ERS",,,,
3230,"GBR","Ardyne","55.895583000000002","-5.049068000000000","UNECE/ERS",,,,
3231,"GBR","Arinagour","56.622000000000000","-6.523500000000000","UNECE/ERS",,,,
3232,"GBR","Arisaig","56.908743000000001","-5.851521000000000","UNECE/ERS",,,,
3233,"GBR","Armadale, Isle of Skye","57.065455999999998","-5.895010000000000","UNECE/ERS",,,,
3234,"GBR","Auckengill","58.554541999999998","-3.082231000000000","UNECE/ERS",,,,
3235,"GBR","Avoch","57.566882999999997","-4.167156000000001","UNECE/ERS",,,,
3237,"GBR","Axmouth","50.703758999999998","-3.058942000000000","UNECE/ERS",,,,
3238,"GBR","Back","58.266592000000003","-6.294760000000000","UNECE/ERS",,,,
3239,"GBR","Backaland, Eday","59.156069000000002","-2.747645000000000","UNECE/ERS",,,,
3240,"GBR","Baile Mor, Iona","56.330224999999999","-6.391374000000000","UNECE/ERS",,,,
3241,"GBR","Balintore","57.754240000000003","-3.909745000000000","UNECE/ERS",,,,
3242,"GBR","Ballantrae","55.104973000000001","-5.009426000000000","UNECE/ERS",,,,
3243,"GBR","Ballintoy","55.244698999999997","-6.368283000000000","UNECE/ERS",,,,
3244,"GBR","Ballycastle","55.208033000000000","-6.236888000000000","UNECE/ERS",,,,
3245,"GBR","Ballyhalbert","54.490985999999999","-5.440590000000000","UNECE/ERS",,,,
3246,"GBR","Ballylumford","54.848463000000002","-5.791058000000000","UNECE/ERS",,,,
3247,"GBR","Ballywalter","54.544423999999999","-5.480462000000000","UNECE/ERS",,,,
3248,"GBR","Baltasound","60.759405000000001","-0.838842000000000","UNECE/ERS",,,,
3250,"GBR","Balvicar","56.291733000000001","-5.603303000000000","UNECE/ERS",,,,
3251,"GBR","Bardsea","54.159657000000003","-3.069377000000000","UNECE/ERS",,,,
3252,"GBR","Barking/London","51.532736000000000","0.073889000000000","UNECE/ERS",,,,
3253,"GBR","Barmouth","52.716503000000003","-4.052028000000000","UNECE/ERS",,,,
3254,"GBR","Barnstaple","51.081690999999999","-4.065824000000000","UNECE/ERS",,,,
3255,"GBR","Barrow-upon-Humber","53.697893000000001","-0.393715000000000","UNECE/ERS",,,,
3256,"GBR","Barry Dock","51.392504000000002","-3.258593000000000","UNECE/ERS",,,,
3257,"GBR","Barton","53.695985000000000","-0.443060000000000","UNECE/ERS",,,,
3258,"GBR","Barton upon Humber","53.696080000000002","-0.442932000000000","UNECE/ERS",,,,
