Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res
IT;OFFSHORE_37;ITP037;44,104993;12,840308;881ea31769fffff;613028522463592447;2;8
IT;OFFSHORE_83;ITP083;44,214457;12,77681;881ea38f15fffff;613028554627612671;2;8
IT;OFFSHORE_61;ITP061;44,475986;12,453451;881ea066bbfffff;613028337566089215;2;8
IT;OFFSHORE_84;ITP084;44,131649;13,001086;881ea316c7fffff;613028522293723135;2;8
IT;OFFSHORE_74;ITP074;44,047208;13,803467;881eaecad5fffff;613029326455046143;2;8
IT;OFFSHORE_48;ITP048;44,689101;12,847421;881ea02591fffff;613028320105201663;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337461231615;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463668502527;2;8
IT;OFFSHORE_34;ITP034;44,368498;12,576432;881ea39a9dfffff;613028557683163135;2;8
IT;OFFSHORE_85;ITP085;42,938165;14,23388;881e852001fffff;613026463288918015;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463597199359;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449569419263;2;8
IT;OFFSHORE_77;ITP077;44,540237;12,495601;881ea02989fffff;613028321168457727;2;8
IT;OFFSHORE_8;ITP008;44,171042;13,113554;881ea3b99bfffff;613028565998370815;2;8
IT;OFFSHORE_54;ITP054;44,108865;13,648827;881eaed8edfffff;613029330311708671;2;8
IT;OFFSHORE_86;ITP086;37,000607;13,594536;883f344219fffff;613601448197881855;2;8
IT;OFFSHORE_68;ITP068;44,116443;13,044925;881ea31697fffff;613028522281140223;2;8
IT;OFFSHORE_20;ITP020;40,930188;18,327114;881e8971a1fffff;613026760004468735;2;8
IT;OFFSHORE_69;ITP069;42,235657;14,931856;881e81325bfffff;613026193234460671;2;8
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601445813420031;2;8
IT;OFFSHORE_87;ITP087;42,715657;14,244378;881e819239fffff;613026218960224255;2;8
IT;OFFSHORE_56;ITP056;39,058611;17,165078;883f242b6bfffff;613600342562570239;2;8
IT;OFFSHORE_87;ITP087;42,715657;14,244378;881e819239fffff;613026218972807167;2;8
IT;OFFSHORE_88;ITP088;43,899535;14,153981;881eae56b1fffff;613029295364767743;2;8
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601462345269247;2;8
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601445811322879;2;8
IT;OFFSHORE_64;ITP064;36,540638;14,625491;883f308899fffff;613601194012573695;2;8
IT;OFFSHORE_65;ITP065;42,934945;14,243294;881e852003fffff;613026463192449023;2;8
IT;OFFSHORE_7;ITP007;44,231121;12,482804;881ea3d699fffff;613028573770416127;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449076588543;2;8
IT;OFFSHORE_35;ITP035;42,201212;14,939078;881e813217fffff;613026193190420479;2;8
IT;OFFSHORE_18;ITP018;44,171864;12,714253;881ea38895fffff;613028552845033471;2;8
IT;OFFSHORE_70;ITP070;37,009175;14,045081;883f3472c3fffff;613601461277818879;2;8
IT;OFFSHORE_89;ITP089;43,779617;14,071618;881eae4293fffff;613029289964601343;2;8
IT;OFFSHORE_74;ITP074;44,047208;13,803467;881eaecad5fffff;613029326541029375;2;8
IT;OFFSHORE_76;ITP076;44,306264;12,628145;881ea38145fffff;613028550882099199;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337423482879;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463240683519;2;8
IT;OFFSHORE_24;ITP024;44,480258;12,453201;881ea06695fffff;613028337626906623;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448732655615;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337492688895;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337410899967;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601449198223359;2;8
IT;OFFSHORE_90;ITP090;40,918159;18,32532;881e8971a7fffff;613026756120543231;2;8
IT;OFFSHORE_70;ITP070;37,009175;14,045081;883f3472c3fffff;613601461202321407;2;8
IT;OFFSHORE_20;ITP020;40,930188;18,327114;881e8971a1fffff;613026756128931839;2;8
IT;OFFSHORE_91;ITP091;44,392963;12,344866;881ea065edfffff;613028337339596799;2;8
IT;OFFSHORE_92;ITP092;43,592497;14,359527;881eae78e7fffff;613029304548196351;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337412997119;2;8
IT;OFFSHORE_19;ITP019;44,091609;13,741427;881eaec161fffff;613029330229919743;2;8
IT;OFFSHORE_59;ITP059;44,391353;12,560244;881ea39ad9fffff;613028557723009023;2;8
IT;OFFSHORE_10;ITP010;44,391179;12,343146;881ea0653bfffff;613028337157144575;2;8
IT;OFFSHORE_70;ITP070;37,009175;14,045081;883f3472c3fffff;613601461273624575;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463588810751;2;8
IT;OFFSHORE_42;ITP042;44,21278;12,705338;881ea388d9fffff;613028552914239487;2;8
IT;OFFSHORE_93;ITP093;43,764413;14,215197;881eae4453fffff;613029290434363391;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337404608511;2;8
